LineID,bus0,bus1,voltage,s_nom,r,x,b,length,under_construction
550,way/65482882-400,GB13-400,400,3574.953,0.163456,1.340341,9.45e-05,10897.08,f
551,GB9-275,way/89699558-275,275,1843.335,0.102072,0.676226,4.23e-05,5103.59,f
552,GB1-220,GB3-220,220,491.556,0.072934,0.365884,4.77e-06,1215.56,f
553,GB2-220,GB3-220,220,491.556,0.076789,0.385223,5.03e-06,1279.81,f
554,way/71118225-400,relation/13110368-400,400,3574.953,0.329499,2.701891,0.00019047,21966.59,f
555,relation/13110368-400,way/90534270-400,400,3574.953,0.558817,4.582299,0.00032303,37254.46,f
556,way/71118225-400,GB53-400,400,3574.953,0.063765,0.522872,3.69e-05,4250.99,f
557,way/32604320-400,GB74-400,400,3574.953,0.042346,0.347236,2.45e-05,2823.06,f
558,way/94530230-400,way/103829261-400,400,3574.953,0.035246,0.289016,2.04e-05,2349.72,f
559,way/1120475588-275,way/447297184-275,275,921.668,0.52552,3.481573,5.45e-05,13138.01,f
560,way/23281217-400,way/775577829-400,400,1787.476,0.395727,3.244959,5.72e-05,13190.89,f
561,way/116539370-275,way/101312018-275,275,1843.335,0.051598,0.341837,2.14e-05,2579.9,f
562,GB33-400,GB34-400,400,3574.953,0.032029,0.262641,1.85e-05,2135.29,f
563,way/81098733-275,relation/7894975-275,275,1843.335,0.472053,3.127348,0.00019576,23602.63,f
564,way/820229174-275,way/762272690-275,275,1843.335,0.375129,2.485232,0.00015556,18756.47,f
565,way/292471784-400,GB65-400,400,3574.953,0.114498,0.938881,6.62e-05,7633.18,f
566,way/1153252242-275,way/30930911-275,275,921.668,0.406001,2.689755,4.21e-05,10150.02,f
567,way/1153252242-275,way/30930911-275,275,921.668,0.357532,2.368652,3.71e-05,8938.31,f
568,way/25935453-400,way/635829123-400,400,3574.953,0.77149,6.326215,0.00044596,51432.64,f
569,way/77065229-400,way/87464485-400,400,3574.953,0.349862,2.868869,0.00020224,23324.14,f
570,way/89038614-400,way/24165071-400,400,3574.953,0.532184,4.363912,0.00030763,35478.96,f
571,way/143905069-400,way/314338790-400,400,3574.953,0.122877,1.007591,7.1e-05,8191.8,f
572,way/895564309-400,way/190511290-400,400,1787.476,0.049055,0.402252,7.09e-06,1635.17,f
573,way/1097582201-400,GB36-400,400,3574.953,0.141372,1.159248,8.17e-05,9424.78,f
574,GB11-275,GB12-275,275,921.668,0.09687,0.641761,1e-05,2421.74,f
575,GB36-400,way/90539508-400,400,3574.953,0.018531,0.151954,1.07e-05,1235.4,f
576,way/785730495-400,GB34-400,400,3574.953,0.182175,1.493834,0.00010531,12144.99,f
577,way/159736514-400,way/785730495-400,400,3574.953,0.547716,4.491275,0.00031661,36514.43,f
578,way/40685663-275,GB11-275,275,1843.335,0.034721,0.230024,1.44e-05,1736.03,f
579,way/264102298-400,way/23281217-400,400,3574.953,0.387081,3.174067,0.00022375,25805.42,f
580,way/20851038-400,way/91082448-400,400,3574.953,0.973329,7.981299,0.00056264,64888.61,f
581,GB39-400,relation/7881280-400,400,3574.953,0.315836,2.589854,0.00018257,21055.72,f
582,way/814351697-400,way/143783006-400,400,3574.953,0.175083,1.435679,0.00010121,11672.19,f
583,way/92529432-400,relation/7894457-400,400,3574.953,0.036512,0.299399,2.11e-05,2434.14,f
584,way/94004582-400,GB22-400,400,3574.953,0.387341,3.176193,0.0002239,25822.71,f
585,GB50-400,way/89573357-400,400,3574.953,0.965651,7.918341,0.0005582,64376.76,f
586,relation/13110369-400,way/314338790-400,400,3574.953,0.103282,0.846912,5.97e-05,6885.46,f
587,relation/7879831-400,way/95749833-400,400,3574.953,0.929985,7.625876,0.00053758,61998.99,f
588,way/96067520-275,GB59-275,275,1843.335,0.214388,1.420323,8.89e-05,10719.42,f
589,GB61-275,way/96067520-275,275,1843.335,0.173507,1.149483,7.2e-05,8675.34,f
590,way/292371992-400,GB81-400,400,3574.953,0.203457,1.668347,0.00011761,13563.8,f
