BusID,bus_name,voltage,x,y,RegionName,color,geometry,index_right,NUTS_ID,LEVL_CODE,CNTR_CODE,NAME_LATN,NUTS_NAME,MOUNT_TYPE,URBN_TYPE,COAST_TYPE
125,way/102549055-400,400.0,0.114609962,51.52118285,Barking,red,POINT (0.114609962 51.52118285),1485.0,UKI52,3.0,UK,Barking & Dagenham and Havering,Barking & Dagenham and Havering,4.0,1.0,1.0
126,way/103150854-400,400.0,0.288344937,51.47116391,West Thurrock,red,POINT (0.288344937 51.47116391),1174.0,UKH32,3.0,UK,Thurrock,Thurrock,4.0,1.0,1.0
127,way/103829261-400,400.0,0.407618211,51.44231108,Northfleet East,red,POINT (0.407618211 51.44231108),1506.0,UKJ43,3.0,UK,Kent Thames Gateway,Kent Thames Gateway,4.0,1.0,1.0
128,way/103915328-275,275.0,-2.150795104,51.39346277,Melksham,red,POINT (-2.150795104 51.39346277),1464.0,UKK15,3.0,UK,Wiltshire CC,Wiltshire CC,4.0,2.0,2.0
129,way/103915328-400,400.0,-2.150544287,51.39368201,Melksham,green,POINT (-2.150544287 51.39368201),1464.0,UKK15,3.0,UK,Wiltshire CC,Wiltshire CC,4.0,2.0,2.0
130,way/1049638569-400,400.0,-2.899964074,51.28654274,Seabank,red,POINT (-2.899964074 51.28654274),1470.0,UKK23,3.0,UK,Somerset,Somerset,4.0,2.0,1.0
131,way/105304263-275,275.0,-3.184996911,55.96536976,Shrubhill,red,POINT (-3.184996911 55.96536976),1466.0,UKM75,3.0,UK,"Edinburgh, City of","Edinburgh, City of",4.0,1.0,1.0
132,way/1078532568-400,400.0,-0.236634539,52.92088492,,red,POINT (-0.236634539 52.92088492),1198.0,UKF30,3.0,UK,Lincolnshire,Lincolnshire,4.0,2.0,1.0
133,way/1087785232-400,400.0,-2.839449257,51.34057311,Bridgewater,red,POINT (-2.839449257 51.34057311),1340.0,UKK12,3.0,UK,"Bath and North East Somerset, North Somerset and South Gloucestershire","Bath and North East Somerset, North Somerset and South Gloucestershire",4.0,1.0,1.0
134,way/109073025-275,275.0,-4.255062262,55.87369771,Port Dundas,green,POINT (-4.255062262 55.87369771),1374.0,UKM82,3.0,UK,Glasgow City,Glasgow City,4.0,1.0,1.0
135,way/109189896,450.0,0.716157544,51.4404983,Kemsley,red,POINT (0.716157544 51.4404983),1498.0,UKJ41,3.0,UK,Medway,Medway,4.0,1.0,1.0
136,way/109463536-275,275.0,-1.131544931,53.97496121,Poppleton,green,POINT (-1.131544931 53.97496121),1245.0,UKE21,3.0,UK,York,York,4.0,2.0,2.0
137,way/109730296-275,275.0,-1.131558865,54.56662671,Lackenby,red,POINT (-1.131558865 54.56662671),1381.0,UKC12,3.0,UK,South Teesside,South Teesside,4.0,1.0,1.0
138,way/109730296-400,400.0,-1.13128574,54.56684399,Lackenby,green,POINT (-1.13128574 54.56684399),1381.0,UKC12,3.0,UK,South Teesside,South Teesside,4.0,1.0,1.0
139,way/1097582201-400,400.0,-1.739725148,53.5201773,Elland,green,POINT (-1.739725148 53.5201773),1397.0,UKE31,3.0,UK,"Barnsley, Doncaster and Rotherham","Barnsley, Doncaster and Rotherham",4.0,1.0,2.0
140,way/111528318-220,220.0,-2.977991295,56.52122917,Glenagnes,green,POINT (-2.977991295 56.52122917),1385.0,UKM71,3.0,UK,Angus and Dundee City,Angus and Dundee City,4.0,1.0,1.0
141,way/111528318-275,275.0,-2.977642045,56.52109693,Glenagnes,red,POINT (-2.977642045 56.52109693),1385.0,UKM71,3.0,UK,Angus and Dundee City,Angus and Dundee City,4.0,1.0,1.0
