ProjectID,Wiki,TerminalName,FacilityType,Status,Country,Capacity,CapacityUnits,CapacityInBcm/y,StartYearEarliest,Location,State/Province,Latitude,Longitude,CostUSD,LastUpdated
0,https://www.gem.wiki/Eemshaven_FSRU,Eemshaven FSRU,Import,Operating,Netherlands,8,bcm/y,8,2022,Eemshaven,,53.4356487,6.8330977,545000000,2024-09-10
0,https://www.gem.wiki/Wilhelmshaven_NWO_FSRU,Wilhelmshaven NWO FSRU,Import,Shelved,Germany,9,bcm/y,9,2023,Wilhelmshaven,,53.516667,8.133333,--,2024-09-10
0,https://www.gem.wiki/Wilhelmshaven_TES_LNG_Terminal,Wilhelmshaven TES LNG Terminal,Import,Proposed,Germany,15,bcm/y,15,2025,Wilhelmshaven,,53.516667,8.133333,--,2024-09-10
1,https://www.gem.wiki/New_Fortress_Grand_Isle_FLNG_Terminal,New Fortress Grand Isle FLNG Terminal,Export,Shelved,United States,2.8,mtpa,3.81,2023,Grand Isle,Louisiana,29.05902215,-89.82260253,1400000000,2024-07-08
1,https://www.gem.wiki/Congo_FLNG_Terminal,Congo FLNG Terminal,Export,Operating,Republic of the Congo,0.6,mtpa,0.82,2024,,,-4.774204,11.798651,1000000000,2024-07-16
0,https://www.gem.wiki/Paldiski_FSRU,Paldiski FSRU,Import,Construction,Estonia,,,--,2024,Paldiski (Estonia) and Inkoo (Finland),,59.38445,24.07494,545000000,2024-07-23
0,https://www.gem.wiki/Thrace_FSRU_Terminal,Thrace FSRU,Import,Proposed,Greece,6,bcm/y,6,--,Aegean Sea,,40.748354,25.718754,--,2024-07-26
0,https://www.gem.wiki/Argo_FSRU_Terminal,Argo FSRU,Import,Proposed,Greece,4.6,bcm/y,4.6,2025,Port of Volos,,39.3512644,22.9324904,246885000,2024-07-26
0,https://www.gem.wiki/Le_Havre_FSRU,Le Havre FSRU,Import,Operating,France,5,bcm/y,5,2023,Port of Le Havre,Normandy,49.46222839,0.042958426,--,2024-09-10
0,https://www.gem.wiki/Thessaloniki_FSRU,Thessaloniki FSRU,Import,Proposed,Greece,7.3,bcm/y,7.3,2025,Thermaic Gulf,,40.2893,23.025,--,2024-07-26
0,https://www.gem.wiki/FGEN_Batangas_FSRU,FGEN Batangas FSRU,Import,Operating,Philippines,5.3,mtpa,7.21,2023,Santa Rita,Batangas,13.7707075,121.0354947,--,2024-07-15
0,https://www.gem.wiki/South_East_LNG_Terminal,South East LNG Terminal,Import,Cancelled,Vietnam,6,mtpa,8.16,2025,,Bình Thuận Province,10.653405,107.776489,--,2024-07-16
1,https://www.gem.wiki/Placentia_Bay_FLNG_Terminal,Placentia Bay FLNG Terminal,Export,Proposed,Canada,4,mtpa,5.44,2030,Arnold's Cove,Newfoundland and Labrador,47.417157,-53.875705,10000000000,2024-09-09
1,https://www.gem.wiki/Tilbury_Island_LNG_Terminal,Tilbury Island LNG Terminal,Export,Operating,Canada,0.04,bcm/y,0.04,1971,Tilbury Island,British Columbia,49.14251084,-123.0340825,--,2024-09-09
2,https://www.gem.wiki/Tilbury_Island_LNG_Terminal,Tilbury Island LNG Terminal,Export,Operating,Canada,0.25,mtpa,0.34,2018,Tilbury Island,British Columbia,49.14251084,-123.0340825,--,2024-09-09
