Ref,Project name,Country,Status,Technology,Technology_electricity,Technology_electricity_details,Product,EndUse_Refining,EndUse_Ammonia,EndUse_Methanol,EndUse_Iron&Steel,EndUse_Other Ind,EndUse_Mobility,EndUse_Power,EndUse_Grid inj.,EndUse_CHP,EndUse_Domestic heat,EndUse_Biofuels,EndUse_Synfuels,EndUse_CH4 grid inj.,EndUse_CH4 mobility,Capacity_MWel,Capacity_Nm³ H₂/h,Capacity_kt H2/y,Capacity_t CO₂ captured/y,References,Latitude,Longitude,Dummy_1,LOWE_CF,,,,,
148,Don Quichote,BEL,Operational,ALK,Dedicated renewable,Onshore wind,H2,,,,,,1,,,,,,,,,0.3,65,0.1,,[4] [388],50.73127486,4.219267381,Electrolysis,0.4,,,,,
149,Regio Energie Solothurn/Aarmat hybrid plant,CHE,DEMO,PEM,Other/unknown,,H2,,,,,,,,1,,,,,,,0.7,135,0.1,,"[2], [109], [110] [469]",0,0,Electrolysis,0.57,,,,,
151,RWE PtG plant Ibbenbüren,DEU,DEMO,PEM,Grid,,H2,,,,,,,1,1,1,,,,,,0.15,29,0.0,,"[1], [2], [7], [9], [82] [385]",0,0,Electrolysis,0.57,,,,,
155,DemoSNG,SWE,DEMO,PEM,Other/unknown,,CH4,,,,,,,,,,,,,1,,0.146,28,0.0,,[387],0,0,Electrolysis,0.57,,,,,
163,Stromlückenfüller 1st phase,DEU,Operational,PEM,Grid,,H2,,,,,,,1,,,,,,,,0.02,4,0.0,,[427],0,0,Electrolysis,0.57,,,,,
164,Higashi-Ogishima-Naga-Park,JPN,DEMO,PEM,Dedicated renewable,Solar PV,H2,,,,,,,,,,1,,,,,0.005,1,0.0,,[280],35.51710941,139.7587348,Electrolysis,0.3,,,,,
165,Emden II Upscaling,DEU,DEMO,PEM,Other/unknown,,CH4,,,,,,,1,,,,,,1,,,,,,[2] [3] [121],0,0,Electrolysis,0.57,,,,,
167,SYNFUEL,DNK,DEMO,SOEC,Other/unknown,,Synfuels,,,,,,,,,,,,1,,,,,,,[3] [192],0,0,Electrolysis,0.57,,,,,
169,"Hydrogen Valley South Tyrol - Bolzano, CHIC",ITA,Operational,ALK,Other/unknown,,H2,,,,,,1,,,,,,,,,1.5,326,0.3,,[864] [865],46.47409854,11.31719371,Electrolysis,0.57,,,,,
173,H2BER (Berlin airport),DEU,Operational,ALK,Dedicated renewable,Onshore wind,H2,,,,,,1,,,,,,,,,0.5,109,0.1,,"[2], [7], [97] [409]",52.36999214,13.52429883,Electrolysis,0.4,,,,,
198,"Hanau, Wolfgang Industrial Park",DEU,Operational,PEM,Other/unknown,,H2,,,,,,,1,1,,,,,,,0.021,4,0.0,,"[2], [177], [178]",0,0,Electrolysis,0.57,,,,,
199,"MicroPyros, Staubing",DEU,Operational,Other Electrolysis,Other/unknown,,CH4,,,,,,,,,,,,,1,,,,,,[7] [143] [144],0,0,Electrolysis,0.57,,,,,
200,"ETOGAS, Solar Fuel Beta-plant AUDI, Werlte (Audi e-gas)",DEU,Operational,ALK,Grid,,CH4,,,,,,,,,,,,,1,1,6.3,1370,1.1,,[1] [3] [5] [7] [9] [737],52.8518701,7.6764179,Electrolysis,0.57,,,,,
201,H2 Logic HRS with onsite electrolysis Aalborg,DNK,Operational,ALK,Grid,,H2,,,,,,1,,,,,,,,,0.431,94,0.1,,[484],0,0,Electrolysis,0.57,,,,,
202,WindGas Falkenhagen,DEU,Operational,ALK,Dedicated renewable,Onshore wind,H2,,,,,,,,1,,,,,,,2,435,0.3,,[372] [737],53.20031054,12.23511242,Electrolysis,0.4,,,,,
203,P2G plant Erdgas Schwaben,DEU,Operational,PEM,Other/unknown,,H2,,,,,,,,1,,,,,,,1,192,0.1,,[1],0,0,Electrolysis,0.57,,,,,
204,"Oslo, CHIC",NOR,Operational,ALK,Other/unknown,,H2,,,,,,1,,,,,,,,,0.6,130,0.1,,,0,0,Electrolysis,0.57,,,,,
