type,latitude,longitude,capacity_mw
Biomass,-20.9295,-48.5072,5.0
Biomass,-21.6335,-48.3421,8.0
Hydro,-17.0778,-40.0853,11.0
Hydro,-17.0725,-40.1047,16.0
Biomass,-21.2116,-48.8296,105.5
Biomass,-21.2118,-48.828,40.0
Biomass,-20.3107,-49.5898,15.0
Biomass,-20.0361,-50.6662,50.0
Biomass,-20.2792,-48.1755,52.76
Hydro,-28.6428,-52.9269,1.12
Hydro,-21.1667,-42.0833,1.6
Biomass,-15.4212,-49.7344,5.0
Biomass,-4.8503,-42.8765,8.8
Hydro,-22.1128,-44.8422,1.616
Biomass,-20.0167,-47.6159,3.6
Biomass,-22.1202,-51.7568,110.0
Biomass,-9.9266,-59.9203,1.0
Hydro,-26.6733,-51.7169,5.6
Biomass,-20.1818,-48.6887,8.0
Biomass,-23.3652,-52.7003,4.0
Biomass,-15.1754,-49.7488,2.4
Biomass,-21.5208,-49.8611,4.0
Biomass,-23.126,-54.1924,12.0
Biomass,-23.6819,-51.6831,3.6
Biomass,-21.0286,-49.9184,10.0
Biomass,-13.781,-57.8406,6.0
Hydro,-27.5158,-49.0781,3.164
Biomass,-22.6751,-49.7627,1.384
Biomass,-21.4163,-48.2793,18.0
Hydro,-26.6725,-51.7525,5.8
Hydro,-18.95,-42.5167,14.0
Hydro,-18.89,-42.724,1.25
Hydro,-22.4833,-47.6,1.7
Hydro,-17.9893,-48.531,375.3
Hydro,-16.7861,-47.9419,96.447
Hydro,-16.3208,-48.1883,127.0
Biomass,-9.9783,-36.2156,16.0
Biomass,-19.8089,-48.7295,30.0
Biomass,-19.7046,-50.3289,24.0
Biomass,-23.6592,-53.3994,15.0
Biomass,-22.6357,-47.6749,75.0
Hydro,-18.5667,-53.1333,16.0
Hydro,-28.9666,-51.75,19.5
Hydro,-28.6714,-52.7086,3.34
Hydro,-24.5633,-51.5533,4.0
Hydro,-22.1578,-45.2806,3.8
Hydro,-28.9808,-50.7825,23.949
Biomass,-8.6369,-35.2617,12.6
Hydro,-14.6333,-53.9333,1.794
Hydro,-7.0167,-37.9667,3.52
Hydro,-2.8117,-54.2989,30.3
Hydro,-12.6456,-58.3189,1.0
Hydro,-20.1169,-43.8681,1.36
Biomass,-17.1171,-46.6541,28.0
Hydro,-10.3303,-56.9814,27.0
Hydro,-28.8833,-51.45,26.0
Biomass,-21.3255,-50.9456,40.0
Biomass,-21.1706,-47.6205,70.0
Biomass,-21.9106,-50.856,4.4
Biomass,-23.1569,-50.0936,6.0
Hydro,-26.7961,-52.1367,1.44
Hydro,-25.2817,-51.877,1.0
Hydro,-10.1633,-59.4642,261.0
Biomass,-17.8335,-40.1786,4.2
Biomass,-22.7623,-50.1025,33.0
Biomass,-22.0536,-48.7021,4.0
Biomass,-19.9716,-47.7589,101.875
Hydro,-25.7589,-52.0869,6.5
Biomass,-21.2515,-49.1283,3.4
Biomass,-22.0541,-49.3107,1.6
Biomass,-21.6237,-48.821,4.0
Biomass,-23.5612,-52.4182,18.38
Biomass,-22.4618,-50.4825,3.6
Biomass,-8.8935,-35.6571,2.4
Biomass,-23.6782,-50.4048,3.6
Biomass,-21.114,-50.4543,5.0
Hydro,-11.7403,-46.7525,5.04
Biomass,-22.3657,-48.6834,7.0
Hydro,-14.3464,-56.7947,4.23
Biomass,-21.3973,-49.884,2.873
Hydro,-11.4661,-46.8189,5.5
Hydro,-20.6994,-42.075,1.251
Hydro,-13.3631,-59.1419,10.8
Hydro,-11.7098,-46.7563,6.0
Biomass,-22.3348,-48.3971,3.6
Biomass,-25.73,-53.0475,1.98
Hydro,-29.4496,-53.2857,125.0
Hydro,-29.2,-51.25,1.0
Hydro,-20.65,-47.6833,10.8
Biomass,-22.6107,-46.9245,1.8512
Hydro,-20.0797,-41.7336,3.0
Hydro,-20.1167,-43.8858,1.4
Hydro,-20.1258,-43.9502,2.744
Biomass,-12.763,-38.4718,16.79
Biomass,-25.3893,-51.4458,12.33
Biomass,-10.314,-58.3495,2.0
Biomass,-21.8514,-54.0159,141.019
Biomass,-20.5957,-51.5975,226.0
Hydro,-22.7,-47.2833,19.0
Hydro,-15.9825,-55.0828,4.5
Hydro,-18.4519,-47.9859,1192.0
Biomass,-26.1852,-50.3597,4.0
Biomass,-24.9522,-50.1,5.0
Biomass,-4.2788,-42.9783,4.4
Biomass,-21.9943,-53.4155,3.2
Biomass,-17.0598,-46.1705,30.0
Hydro,-29.1203,-53.3678,17.87
Hydro,-29.1306,-53.3156,13.0
Hydro,-16.7,-54.76,24.435
Hydro,-19.1178,-50.6456,68.4
Biomass,-30.9735,-54.6353,1.2
Biomass,-21.5208,-49.8611,58.4
Biomass,-21.5208,-49.8611,80.0
Hydro,-28.5558,-52.5456,4.8
Hydro,-26.5531,-52.3272,1.0
Hydro,-27.7833,-51.3667,22.2
Hydro,-20.8333,-47.3,5.04
Hydro,-13.7786,-59.7889,2.4
Hydro,-11.4797,-60.7469,2.3
Hydro,-18.6758,-51.8656,32.01
Hydro,-22.35,-46.225,1.25
Biomass,-22.6533,-47.2014,46.4
Biomass,-6.2266,-35.198,17.0
