transformer_id,bus0,bus1,voltage_bus0,voltage_bus1,s_nom,geometry
way/103511952-220-400,way/103511952-220,way/103511952-400,220,400,5363,'LINESTRING (-6.624058174869065 42.58543754046438, -6.623858107536145 42.58566590051649)'
way/103653567-220-225,way/103653567-220,way/103653567-225,220,225,503,'LINESTRING (7.629670376833333 43.82792556379145, 7.629925523023667 43.828122880207275)'
way/103653591-220-380,way/103653591-220,way/103653591-380,220,380,3397,'LINESTRING (8.428556868456633 44.27625902865617, 8.428816708094367 44.27645430720542)'
way/103915328-275-400,way/103915328-275,way/103915328-400,275,400,8938,'LINESTRING (-2.1507951036312747 51.393462774921126, -2.1505442874596796 51.393682013785934)'
way/104020696-220-400,way/104020696-220,way/104020696-400,220,400,8938,'LINESTRING (2.1115956849059683 41.61924851539012, 2.1118237075704354 41.61945906580944)'
way/1040827524-330-400,way/1040827524-330,way/1040827524-400,330,400,3319,'LINESTRING (26.64498722403311 50.29633005521125, 26.645181910304302 50.2961325190165)'
way/1040827524-330-750,way/1040827524-330,way/1040827524-750,330,750,10808,'LINESTRING (26.64498722403311 50.29633005521125, 26.645352945787216 50.296337795788396)'
way/1040827524-400-750,way/1040827524-400,way/1040827524-750,400,750,10808,'LINESTRING (26.645181910304302 50.2961325190165, 26.645352945787216 50.296337795788396)'
way/1041283619-220-400,way/1041283619-220,way/1041283619-400,220,400,5363,'LINESTRING (-8.957752038662615 39.012776791275925, -8.957568456063399 39.01300987635272)'
way/104370242-220-400,way/104370242-220,way/104370242-400,220,400,5363,'LINESTRING (-8.356129295185394 43.16703899439158, -8.355934265910934 43.167270471129775)'
way/105065132-220-380,way/105065132-220,way/105065132-380,220,380,1699,'LINESTRING (13.0666956904225 47.88795830581895, 13.06699042134894 47.888141093731434)'
way/105141365-220-380,way/105141365-220,way/105141365-380,220,380,6793,'LINESTRING (7.935630633718297 45.23192542730615, 7.935870285070519 45.23176451437457)'
way/105141365-220-400,way/105141365-220,way/105141365-400,220,400,3575,'LINESTRING (7.935630633718297 45.23192542730615, 7.935947335412417 45.231992260906964)'
way/105141365-380-400,way/105141365-380,way/105141365-400,380,400,6793,'LINESTRING (7.935870285070519 45.23176451437457, 7.935947335412417 45.231992260906964)'
way/105153431-220-380,way/105153431-220,way/105153431-380,220,380,5095,'LINESTRING (7.725279766764836 45.2065074941325, 7.725541408413269 45.20670440475536)'
way/1054310285-220-400,way/1054310285-220,way/1054310285-400,220,400,1788,'LINESTRING (-7.455787386876371 40.17653631767571, -7.455596172694567 40.17676651616712)'
way/105515586-225-400,way/105515586-225,way/105515586-400,225,400,10725,'LINESTRING (-0.6821355382769324 45.25765670969785, -0.6819046263208001 45.257872965823125)'
way/105571340-225-400,way/105571340-225,way/105571340-400,225,400,7150,'LINESTRING (-0.6060493841911565 45.67375236654553, -0.6058166163808618 45.67396843250124)'
way/105630888-225-400,way/105630888-225,way/105630888-400,225,400,10725,'LINESTRING (-0.518663194407907 46.21857411309655, -0.518427984111385 46.218789959784026)'
way/105690676-225-400,way/105690676-225,way/105690676-400,225,400,7150,'LINESTRING (0.6487744727311002 46.465614962621146, 0.6490152620868602 46.465828270164614)'
way/105757794-220-380,way/105757794-220,way/105757794-380,220,380,6793,'LINESTRING (9.884120967799058 44.1068896718317, 9.884384950205437 44.107081303587265)'
way/105783300-225-400,way/105783300-225,way/105783300-400,225,400,10725,'LINESTRING (1.6205651765876836 46.45793002369303, 1.6208097304624918 46.45814118512451)'
way/105840884-225-400,way/105840884-225,way/105840884-400,225,400,5363,'LINESTRING (-0.55134533317054 45.01034837831131, -0.55111483709828 45.010564373906064)'
way/105913465-225-400,way/105913465-225,way/105913465-400,225,400,10725,'LINESTRING (0.8227274330968184 44.10252131024417, 0.8229597048320014 44.10273441560915)'
way/1063258951-220-400,way/1063258951-220,way/1063258951-400,220,400,1788,'LINESTRING (15.053325130998928 46.37184416819778, 15.053618037255632 46.372021726516714)'
way/1076001174-220-380,way/1076001174-220,way/1076001174-380,220,380,5095,'LINESTRING (7.171863999687969 51.55482307309387, 7.172157829494271 51.555020955429725)'
way/107808612-330-750,way/107808612-330,way/107808612-750,330,750,16212,'LINESTRING (31.228178514553242 47.819999607725634, 31.228530628544142 47.82012716851012)'
way/108020416-220-380,way/108020416-220,way/108020416-380,220,380,11887,'LINESTRING (16.027495160815164 39.9896406397286, 16.027759598542385 39.98981680018001)'
way/108099552-225-400,way/108099552-225,way/108099552-400,225,400,5363,'LINESTRING (2.1608478804875695 51.000204793080535, 2.161116439407562 51.000414624085366)'
way/1086825107-220-380,way/1086825107-220,way/1086825107-380,220,380,11887,'LINESTRING (11.64567711351438 50.53473525961478, 11.645982906622782 50.534921627420225)'
way/1089769599-220-380,way/1089769599-220,way/1089769599-380,220,380,8491,'LINESTRING (9.201525928736759 53.89571897415103, 9.201844930872275 53.89591168253439)'
way/109037817-220-380,way/109037817-220,way/109037817-380,220,380,1699,'LINESTRING (7.672530168572934 47.520027177779944, 7.67280293873022 47.52022399786919)'
way/1091984573-220-380,way/1091984573-220,way/1091984573-380,220,380,5095,'LINESTRING (13.683262805267878 54.13879833040566, 13.683603720101306 54.13897896484881)'
way/1094015892-220-380,way/1094015892-220,way/1094015892-380,220,380,8491,'LINESTRING (12.18541275506207 53.81471057650946, 12.185744487521829 53.81489534644777)'
